"ASV","relab_sum","shap_p","Year","Month","Species","Rotation","Nitrogen","Block","Rep","Residual","Kingdom","Phylum","Class","Order","Family","Genus","species","taxa"
"asv_001328",0.0241836443310493,0.989550864887979,1.00969172,2.41253775,3e-07,0,4.36423165,6.28e-06,2.95e-06,92.21352935,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Phyllobacteriaceae","Mesorhizobium",NA,"f__Phyllobacteriaceae g__Mesorhizobium "
"asv_002241",0.0155932253859079,0.988250139718782,3.28183798,0,6.188e-05,0.09271967,0,7.74e-06,3.25975968,93.36561304,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Methylibium",NA,"f__Comamonadaceae g__Methylibium "
"asv_000678",0.128879933088304,0.986843810338608,19.75589923,29.24791313,1.46e-05,0.10418523,1.69e-06,0,6.5e-07,50.89198547,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter",NA,"f__Sphingobacteriaceae g__Pedobacter "
"asv_003900",0.0611093448631882,0.985072038759092,0,14.06662743,1.7e-06,1.305e-05,3.21e-06,1.51764699,9.92e-06,84.4156977,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Delftia",NA,"f__Comamonadaceae g__Delftia "
"asv_002289",0.0127038143152268,0.984750827346216,0,4.74039377,0.10889219,5.4e-07,3.02490046,6e-07,3.3e-07,92.12581211,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA,"f__Pseudomonadaceae g__Pseudomonas "
"asv_000626",0.0766037403843815,0.983160545076773,18.91844635,22.81850021,1.6457569,1.23e-06,0.45826702,0.67912188,0,55.47990641,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter",NA,"f__Sphingobacteriaceae g__Pedobacter "
"asv_000177",0.152244431089037,0.982706468589387,3.72616984,2.16e-06,3.60874561,2.35e-06,1.39300292,1.47e-06,3.22e-06,91.27207243,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium",NA,"f__Bradyrhizobiaceae g__Bradyrhizobium "
"asv_003377",0.0894303773110053,0.981799040892977,6.19671059,9.76983903,9.373e-05,0.60289421,6.85090558,9.52e-06,7.49e-06,76.57953984,"Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrososphaera","SCA1145","f__Nitrososphaeraceae g__Nitrososphaera s__SCA1145"
"asv_000628",0.306936808972111,0.981751945075487,0,3.09225722,0,0,0,0.03968887,2.9e-07,96.86805363,"Bacteria","Actinobacteria","Thermoleophilia","Gaiellales","Gaiellaceae",NA,NA,"f__Gaiellaceae  "
"asv_000445",0.0848984677189897,0.980837885471331,16.76223921,25.18755904,0.56969526,0.00097755,1.35627442,0,0.00122522,56.12202931,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter",NA,"f__Sphingobacteriaceae g__Pedobacter "
"asv_001067",0.0618396834800125,0.97967247412113,6e-08,0,1.58451267,1.99183583,1.54549331,4e-08,0,94.8781581,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Methylibium",NA,"f__Comamonadaceae g__Methylibium "
"asv_001221",0.0735415710923602,0.978557215049122,18.02280167,26.49482357,3.3e-07,0.18242856,0,0.3645114,4.83e-06,54.93542963,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter",NA,"f__Sphingobacteriaceae g__Pedobacter "
"asv_001024",0.154996707670406,0.978466876555817,25.49904042,5.68613745,0.54918131,0.58324744,0,3.7497802,0.59213861,63.34047457,"Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrososphaera",NA,"f__Nitrososphaeraceae g__Nitrososphaera "
"asv_000257",0.16323676603665,0.977607079339613,46.09316821,15.33854047,4.77e-06,0.00011126,1.3e-06,1.00006265,0.24011211,37.32799923,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA,"f__Pseudomonadaceae g__Pseudomonas "
"asv_000941",0.121831322941478,0.976880049698152,30.43803765,2.0703074,0.00049059,0.20444269,0.3581616,9.524e-05,1.5e-07,66.92846469,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micrococcaceae","Arthrobacter","psychrolactophilus","f__Micrococcaceae g__Arthrobacter s__psychrolactophilus"
"asv_000682",0.0514312890306824,0.975480413593492,15.94374446,23.32946907,2.54807828,0,0.98750525,0.33200957,0.66512767,56.19406571,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter",NA,"f__Sphingobacteriaceae g__Pedobacter "
"asv_000436",0.163920680291217,0.975203825132829,3e-08,1.47983316,0,0,3.08695167,5.4e-07,1.4e-07,95.43321446,"Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Phenylobacterium",NA,"f__Caulobacteraceae g__Phenylobacterium "
"asv_001362",0.173187242689366,0.974699060975207,9.55e-06,7.8e-07,1.90332086,0,3.72e-06,0.29853199,3.2e-07,97.79813278,"Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Myxococcaceae","Corallococcus","exiguus","f__Myxococcaceae g__Corallococcus s__exiguus"
"asv_001933",0.0323609440216496,0.972781330317202,5.39034386,7.78940321,0.03731681,2.06753719,2.44e-06,1.67708081,3.62e-06,83.03831206,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter",NA,"f__Sphingobacteriaceae g__Pedobacter "
"asv_000151",0.337733873956994,0.970292823518398,0,2.17790229,7e-08,3.02171182,0.00843902,3e-08,3.245e-05,94.79191432,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium",NA,"f__Bradyrhizobiaceae g__Bradyrhizobium "
"asv_001096",0.26686482421838,0.967573486897785,5.79161505,4.70216078,5.09745126,0.00621372,17.8303682,0.25082861,2.587e-05,66.3213365,"Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrososphaera","SCA1170","f__Nitrososphaeraceae g__Nitrososphaera s__SCA1170"
"asv_000749",0.14602950743937,0.967209666705076,19.62330101,29.02432331,0.00097081,0.11815325,0.66738171,0.13184575,1.726e-05,50.4340069,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter",NA,"f__Sphingobacteriaceae g__Pedobacter "
"asv_000868",0.0186721261671765,0.966987165495249,3.15197801,0.05446429,1.66e-06,2.98038316,3.093e-05,3.423e-05,0.00043005,93.81267767,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA,"f__Pseudomonadaceae g__Pseudomonas "
"asv_000948",0.198244094503433,0.96678431137334,0.00019614,5.37e-06,0,1.16e-06,5.44344427,8.89074321,0,85.66560985,"Bacteria","Verrucomicrobia","[Spartobacteria]","[Chthoniobacterales]","[Chthoniobacteraceae]","DA101",NA,"f__[Chthoniobacteraceae] g__DA101 "
"asv_003744",0.00584624606589329,0.964636317831238,0,0.01158374,1.6e-07,1.6e-07,6.8e-07,9e-08,0,99.98841517,"Bacteria","Bacteroidetes","[Saprospirae]","[Saprospirales]","Chitinophagaceae","Chitinophaga","arvensicola","f__Chitinophagaceae g__Chitinophaga s__arvensicola"
"asv_001779",0.0147595513207567,0.963594863470035,3.25512673,1.01358955,2.6e-07,0.2100773,0.02861541,0,4.03e-06,95.49258672,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA,"f__Pseudomonadaceae g__Pseudomonas "
"asv_000744",0.128559661007854,0.962868517131366,20.42435202,30.19116288,0.00025071,0.736306,0.96074267,2.202e-05,0.00017769,47.68698601,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter",NA,"f__Sphingobacteriaceae g__Pedobacter "
"asv_001276",0.0896986723784928,0.961408672746641,19.7924083,7.23661462,0,2.79299586,0.85196432,0.97346196,1e-08,68.35255492,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA,"f__Pseudomonadaceae g__Pseudomonas "
"asv_000613",0.11043551110081,0.960943821166834,19.6978972,29.02701262,0.53662557,0.19450301,0.00013919,0.26890866,2.4e-07,50.2749135,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter",NA,"f__Sphingobacteriaceae g__Pedobacter "
"asv_000739",0.220283304350275,0.960926244298705,8.09950449,2.40651929,7.69723777,5.72e-06,0.04676465,0.55481297,6.9e-07,81.19515443,"Bacteria","Verrucomicrobia","[Spartobacteria]","[Chthoniobacterales]","[Chthoniobacteraceae]","DA101",NA,"f__[Chthoniobacteraceae] g__DA101 "
"asv_001565",0.117664314861925,0.96044357420831,0.56473099,0,0.00022978,0,0.11491774,1.969e-05,0,99.3201018,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Propionibacteriaceae","Microlunatus",NA,"f__Propionibacteriaceae g__Microlunatus "
"asv_001672",0.10881757895085,0.95890974158102,0,0.78771907,0,0,2.93988311,0,2.9e-07,96.27239753,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Methylibium",NA,"f__Comamonadaceae g__Methylibium "
"asv_001647",0.0629094105127935,0.95808688236102,2.7e-07,1.4802732,2.32e-06,3.99e-06,0,0,0.50533102,98.0143892,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Sinobacteraceae","Steroidobacter",NA,"f__Sinobacteraceae g__Steroidobacter "
"asv_001669",0.0224902551118558,0.957445150855077,0.00018921,0.0786042,2.479e-05,2.153e-05,0.16271175,0.1097451,0.22933061,99.4193728,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Phyllobacteriaceae","Mesorhizobium",NA,"f__Phyllobacteriaceae g__Mesorhizobium "
"asv_001829",0.12911524770727,0.957000329702624,0.05237742,6.48471992,0.19644857,0,0.52304376,9.9e-07,1.1e-07,92.74340922,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae",NA,NA,"f__Beijerinckiaceae  "
"asv_003041",0.0598623090295148,0.956339948328501,0.06056484,9.161e-05,3e-08,1.772e-05,0,9.04e-06,1.647e-05,99.93930028,"Bacteria","Verrucomicrobia","[Spartobacteria]","[Chthoniobacterales]","[Chthoniobacteraceae]","DA101",NA,"f__[Chthoniobacteraceae] g__DA101 "
"asv_002274",0.115684656286684,0.955115250957957,1.31376203,4.0884993,0.00056138,0.00130543,15.98493761,0.00079838,1.68e-06,78.61013418,"Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrososphaera",NA,"f__Nitrososphaeraceae g__Nitrososphaera "
"asv_000219",0.182702429148048,0.951694207242404,43.14816977,15.95442003,0,0.05802504,0.00030274,0.33158489,4e-07,40.50749713,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA,"f__Pseudomonadaceae g__Pseudomonas "
"asv_000938",0.161700675297638,0.949770261486552,8.75510856,3.55104819,1e-08,3.5e-07,6.95427985,0.00024747,0.00048762,80.73882795,"Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrososphaera",NA,"f__Nitrososphaeraceae g__Nitrososphaera "
"asv_001283",0.188631479881386,0.949389770201544,8.68880041,2.9e-07,5.72949,0,15.38040032,0,3.07e-06,70.20130592,"Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrososphaera","SCA1170","f__Nitrososphaeraceae g__Nitrososphaera s__SCA1170"
"asv_000392",0.0103988884203939,0.948345159156711,0,0.02723916,2.0648341,2.06035619,0,2.07949807,2.41e-06,93.76807007,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA,"f__Enterobacteriaceae  "
"asv_002639",0.0986224702287733,0.948044244647074,2.83763378,0,3.61570639,8.953e-05,0.04235476,0.31367512,2.833e-05,93.19051209,"Bacteria","Nitrospirae","Nitrospira","Nitrospirales","Nitrospiraceae","Nitrospira",NA,"f__Nitrospiraceae g__Nitrospira "
"asv_002480",0.115837333765688,0.94674478731022,10.40192594,1.60039622,1.13537017,7.1e-07,0.20652286,6.7e-07,9.41e-06,86.65577402,"Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrososphaera",NA,"f__Nitrososphaeraceae g__Nitrososphaera "
"asv_002793",0.0808961102434894,0.946178358835085,0,0.39299499,1.286e-05,3.73343,5.52e-06,0.00030978,0,95.87324685,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Intrasporangiaceae",NA,NA,"f__Intrasporangiaceae  "
"asv_001299",0.109711897273718,0.944182984316663,0.34359373,0,4.38570689,0,0,0.25474329,0.70158965,94.31436644,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Sinobacteraceae","Steroidobacter",NA,"f__Sinobacteraceae g__Steroidobacter "
"asv_000441",0.319562662468285,0.942132308078106,6.74464464,7.50196132,0.00955349,0.00192098,0.0006907,0.00514788,0.00035692,85.73572406,"Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrososphaera",NA,"f__Nitrososphaeraceae g__Nitrososphaera "
"asv_001347",0.203000413626,0.941532641367991,0,0.1999588,1.69e-06,7.87137165,4.22201006,0.63585052,0,87.07080729,"Bacteria","Actinobacteria","Thermoleophilia","Gaiellales","Gaiellaceae",NA,NA,"f__Gaiellaceae  "
"asv_005191",0.0662008448621676,0.939350310429955,11.41464228,7.21708219,0.00339255,0.00054359,2.4815982,1.105e-05,0,78.88273014,"Bacteria","Verrucomicrobia","[Spartobacteria]","[Chthoniobacterales]","[Chthoniobacteraceae]","DA101",NA,"f__[Chthoniobacteraceae] g__DA101 "
"asv_000490",0.308203442259879,0.938928283756129,6.72550892,8.60935597,4.4e-07,7.16e-06,1.91e-06,0,0,84.66512559,"Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrososphaera",NA,"f__Nitrososphaeraceae g__Nitrososphaera "
"asv_000520",0.252260139895137,0.938861882815032,8.98e-05,0,2.17e-06,8.51e-06,0,1.72e-06,0.00027627,99.99962154,"Bacteria","Verrucomicrobia","[Spartobacteria]","[Chthoniobacterales]","[Chthoniobacteraceae]","DA101",NA,"f__[Chthoniobacteraceae] g__DA101 "
"asv_001664",0.0962823890266226,0.937790988684605,7.23873573,1.25714428,1.02147614,1.942e-05,4.79687891,0,0,85.68574552,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Kaistobacter",NA,"f__Sphingomonadaceae g__Kaistobacter "
"asv_002778",0.110830450471975,0.935621307050668,0.93170705,8.67298541,2.4290429,0.90298455,2.19849873,1.76e-05,0,84.86476376,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Arenimonas","oryziterrae","f__Xanthomonadaceae g__Arenimonas s__oryziterrae"
"asv_001745",0.0299706968548394,0.935354703004091,9.46648602,9.57376029,1.05113616,0.00035537,1.204e-05,2.18989922,1.8e-07,77.71835072,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas","maltophilia","f__Xanthomonadaceae g__Stenotrophomonas s__maltophilia"
"asv_002697",0.0995544356001809,0.934737810495731,5e-08,4e-08,4.45108636,1.08e-06,1.83495737,0,0.03991418,93.67404091,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae",NA,NA,"f__Rhodospirillaceae  "
"asv_000198",0.148346867390775,0.933014101756318,43.89598162,16.4759618,0.00015669,1.9e-06,2.6e-07,1.09133137,5.1e-07,38.53656585,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","veronii","f__Pseudomonadaceae g__Pseudomonas s__veronii"
"asv_001744",0.0204641867386808,0.931524582213869,0,0.85170767,1.74e-06,0.8325105,0,0,0.87102184,97.44475826,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae","Streptomyces","mirabilis","f__Streptomycetaceae g__Streptomyces s__mirabilis"
"asv_002445",0.0179139039556256,0.929723272732919,2.535e-05,1.1951025,0.00045237,0,6.7e-06,0.06207003,2.8e-07,98.74234277,"Bacteria","Bacteroidetes","[Saprospirae]","[Saprospirales]","Chitinophagaceae","Chitinophaga",NA,"f__Chitinophagaceae g__Chitinophaga "
"asv_001400",0.143062876806422,0.928910075302189,0,0.1682019,2.11855928,0,1.80702202,1e-08,4.6e-07,95.90621634,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Skermanella",NA,"f__Rhodospirillaceae g__Skermanella "
"asv_000806",0.20017777778935,0.928625185115146,17.05487445,3.9113267,8.2e-06,0,0,0.58523262,0,78.44855803,"Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrososphaera",NA,"f__Nitrososphaeraceae g__Nitrososphaera "
"asv_000865",0.101173443020306,0.92858619597899,6.3e-07,1.88e-06,0,2.41559798,8.1e-07,7.54e-06,0.70101217,96.88337899,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae","Streptomyces","mirabilis","f__Streptomycetaceae g__Streptomyces s__mirabilis"
"asv_000174",0.0883993501491904,0.928477621370122,1.42661274,3.84348799,7.79e-06,3.23147345,3e-08,0.25150652,0,91.24691147,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium",NA,"f__Bradyrhizobiaceae g__Bradyrhizobium "
"asv_000704",0.101652903191738,0.925752791839355,0,1.00966671,0,4.7e-07,6.79e-06,1.23e-06,2e-08,98.99032478,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae",NA,NA,"f__Oxalobacteraceae  "
"asv_000232",0.106199974688344,0.925643475475662,40.15985252,14.65233639,0.00015302,5.63e-06,0,0.33123725,0.00047914,44.85593605,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","veronii","f__Pseudomonadaceae g__Pseudomonas s__veronii"
"asv_000925",0.039808222875922,0.925514216995521,14.96790015,21.89318207,2.25095757,5.965e-05,1.94841888,0.95326543,2.51e-06,57.98621374,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter",NA,"f__Sphingobacteriaceae g__Pedobacter "
"asv_000187",0.170137393507561,0.925208289307329,41.94129129,16.98498761,1.39e-06,5.8e-07,0,6.44e-06,7.05e-06,41.07370563,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","veronii","f__Pseudomonadaceae g__Pseudomonas s__veronii"
"asv_001435",0.156796619319434,0.925110200262614,0.10453298,0,2.04322607,0.86601886,0,2.89127387,0,94.09494822,"Bacteria","Actinobacteria","Thermoleophilia","Gaiellales","Gaiellaceae",NA,NA,"f__Gaiellaceae  "
