"ASV","relab_sum","shap_p","Year","Month","Species","Rotation","Nitrogen","Block","Rep","Residual","Kingdom","Phylum","Class","Order","Family","Genus","species","taxa"
"asv_000544",0.0697974620172988,0.990348681841412,2.08650187,0.5574631,5.71e-06,0,0.25364472,0,0.13022933,96.97215527,"Bacteria","Actinobacteria","Thermoleophilia","Gaiellales","Gaiellaceae",NA,NA,"f__Gaiellaceae  "
"asv_002290",0.0339174588190378,0.990319563233185,0,4.54599754,3.1e-07,0,2.89810465,3e-07,0,92.5558972,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","flexus","f__Bacillaceae g__Bacillus s__flexus"
"asv_003022",0.0989124070039611,0.988395960608251,5.07325656,12.2128449,11.17107592,3.30097621,3.2e-07,0.20451954,2.91e-06,68.03732365,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Hylemonella",NA,"f__Comamonadaceae g__Hylemonella "
"asv_000924",0.0272297618294513,0.987305922102128,0.03547223,5.6e-06,12.40038502,8.66127551,2.07e-06,0,0,78.90285957,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium",NA,"f__Bradyrhizobiaceae g__Bradyrhizobium "
"asv_003980",0.0325588327013831,0.986586437142075,0.89404324,0,0,0,0,0,1.2e-07,99.10595665,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Intrasporangiaceae",NA,NA,"f__Intrasporangiaceae  "
"asv_002268",0.0736899037471061,0.986465727747137,2.15437089,28.51567681,0.16388144,3.08743057,1.6e-07,0.06000251,4.6568354,61.36180222,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Delftia",NA,"f__Comamonadaceae g__Delftia "
"asv_003451",0.0294948747237119,0.98564861590259,20.73360156,0.53123862,0,1.01960752,6.60142593,1.88e-06,1.05e-06,71.11412344,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA,"f__Pseudomonadaceae g__Pseudomonas "
"asv_002294",0.0181664589105932,0.985172914201594,11.04587343,0.85918422,0.9232054,0.82717901,4.78e-06,0.77780952,1.214e-05,85.5667315,"Bacteria","Verrucomicrobia","[Spartobacteria]","[Chthoniobacterales]","[Chthoniobacteraceae]","DA101",NA,"f__[Chthoniobacteraceae] g__DA101 "
"asv_001139",0.0578744793224958,0.984845315256322,16.68522019,23.75608993,1.88e-06,3.82471825,1.13083758,0.005807,0.00054472,54.59678045,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter",NA,"f__Sphingobacteriaceae g__Pedobacter "
"asv_002443",0.0322035481034899,0.984772925513725,26.31627441,2.04065379,1e-07,0.26488199,1e-07,1.02e-06,6e-08,71.37818854,"Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrososphaera","SCA1170","f__Nitrososphaeraceae g__Nitrososphaera s__SCA1170"
"asv_000374",0.194552231438922,0.983642920357299,18.11234889,8.96127945,2.809e-05,0,1.51272043,5.11e-06,2.17e-06,71.41361586,"Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrososphaera",NA,"f__Nitrososphaeraceae g__Nitrososphaera "
"asv_000423",0.171526370592508,0.983470604523032,20.77071038,18.75094183,0,0.00012393,3.5e-07,2.02741473,9.8e-07,58.4508078,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter",NA,"f__Sphingobacteriaceae g__Pedobacter "
"asv_002241",0.1083712234323,0.982778081143351,16.13124461,0,7.00816325,1.64454459,0.31688675,0,0.74142966,74.15773113,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Methylibium",NA,"f__Comamonadaceae g__Methylibium "
"asv_001537",0.0356444410939228,0.98251350096765,4.73071139,19.46978875,3.84657037,3e-08,0.00036804,0,0.59752708,71.35503434,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Herbaspirillum",NA,"f__Oxalobacteraceae g__Herbaspirillum "
"asv_004129",0.0095576900258737,0.982309213031205,0.76141441,0,5e-08,0,0,6e-08,2.7e-07,99.23858521,"Bacteria","Actinobacteria","Thermoleophilia","Gaiellales","Gaiellaceae",NA,NA,"f__Gaiellaceae  "
"asv_002528",0.0369020863125531,0.982206108635219,15.46416601,7.40129796,0,1.86761456,0.38918874,8.8e-07,5.74e-06,74.87772612,"Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrososphaera","SCA1170","f__Nitrososphaeraceae g__Nitrososphaera s__SCA1170"
"asv_002021",0.0301518667888127,0.981855773155777,14.34685206,27.48339339,0.26741088,0.64931503,2.05840487,0.44238691,0,54.75223686,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter",NA,"f__Sphingobacteriaceae g__Pedobacter "
"asv_002889",0.0878301816656741,0.981435540911736,2.26772065,0,0,4.079e-05,14.01441529,0,1.21e-06,83.71782206,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Kaistobacter",NA,"f__Sphingomonadaceae g__Kaistobacter "
"asv_001193",0.0336680618398752,0.980339496521969,18.97326653,24.04098943,1.40564066,0.36506001,3.78594541,2.875e-05,0.00036317,51.42870605,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter",NA,"f__Sphingobacteriaceae g__Pedobacter "
"asv_000882",0.0400015459432022,0.978660949608827,21.79291001,27.79714759,1.74930311,0,0.46718408,3.28e-06,0.00036288,48.19308907,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter",NA,"f__Sphingobacteriaceae g__Pedobacter "
"asv_001296",0.0375832535924329,0.978177455139527,2.99415692,1.90945392,4.84e-06,0,0,5e-08,0,95.09638427,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Sinobacteraceae","Steroidobacter",NA,"f__Sinobacteraceae g__Steroidobacter "
"asv_000351",0.130380889273069,0.977172514862333,36.65982738,3.70774062,0.55971772,0.02569031,7.89083463,0.25257846,0.062884,50.84072688,"Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrososphaera","SCA1170","f__Nitrososphaeraceae g__Nitrososphaera s__SCA1170"
"asv_000982",0.0823068137454326,0.977119864989734,0.32497568,0,0.80825164,0,1e-07,0,0.25306332,98.61370926,"Bacteria","Actinobacteria","Thermoleophilia","Gaiellales","Gaiellaceae",NA,NA,"f__Gaiellaceae  "
"asv_001683",0.0492144416775197,0.976364464993384,11.89547564,5.37447656,0.59898865,0.71406294,0.80570124,0.11144716,7.21e-06,80.49984062,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA,"f__Pseudomonadaceae g__Pseudomonas "
"asv_001176",0.0637834428252539,0.975378108786641,15.86984259,18.11085607,1.10139609,1.311e-05,9.3e-07,1.03251192,0.89161744,62.99376185,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas",NA,"f__Xanthomonadaceae g__Stenotrophomonas "
"asv_000898",0.0898440247819288,0.974763961379589,13.27653679,0.19333691,3.75120106,0,7.56038581,0.00023924,3.58e-06,75.21829661,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micrococcaceae","Arthrobacter","psychrolactophilus","f__Micrococcaceae g__Arthrobacter s__psychrolactophilus"
"asv_001358",0.036903283589065,0.972436092273285,15.45142613,33.27908197,0.00026119,0.01302167,0,1.95632953,1.31e-06,49.29987821,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas",NA,"f__Xanthomonadaceae g__Stenotrophomonas "
"asv_000694",0.0318593926003558,0.972408296413343,1.169e-05,0,8.82106967,8.31972744,0.40639265,0.09858592,0.00154366,82.35266898,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium",NA,"f__Bradyrhizobiaceae g__Bradyrhizobium "
"asv_001690",0.0932977836189221,0.972405037721916,1.361e-05,0.86571983,1.71e-06,1.48e-06,22.81867944,2.2833601,0.02218522,74.01003861,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Kaistobacter",NA,"f__Sphingomonadaceae g__Kaistobacter "
"asv_001391",0.0800557697800044,0.971824322086179,0.54031708,1.16751345,2.11785026,1.7e-07,0.30139661,0.83512255,1.93981822,93.09798166,"Bacteria","Nitrospirae","Nitrospira","Nitrospirales","Nitrospiraceae","Nitrospira",NA,"f__Nitrospiraceae g__Nitrospira "
"asv_001942",0.0471685742997318,0.97127682422873,23.62978094,4.40403542,9e-08,0,1.35471083,5e-07,3.596e-05,70.61143625,"Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrososphaera","SCA1170","f__Nitrososphaeraceae g__Nitrososphaera s__SCA1170"
"asv_001509",0.0405713788147805,0.971034465032953,22.51261848,21.5427705,1.8052279,0,0.24827736,0.00018196,5.24e-06,53.89091856,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter",NA,"f__Sphingobacteriaceae g__Pedobacter "
"asv_002298",0.0458153765485497,0.97098676644247,8.03969356,0.08093484,0.04942463,0,5.819e-05,1.432e-05,3.01e-06,91.82987144,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Pantoea","agglomerans","f__Enterobacteriaceae g__Pantoea s__agglomerans"
"asv_001101",0.0585432440753274,0.970738951232384,0,2.8500794,9.63745037,0.00029953,16.75409661,0,1.148e-05,70.75806261,"Bacteria","Bacteroidetes","[Saprospirae]","[Saprospirales]","Chitinophagaceae",NA,NA,"f__Chitinophagaceae  "
"asv_003164",0.0102520717293734,0.968871492425225,1.81769536,0,0,2.26e-06,8e-08,1.84241236,1.29e-06,96.33988866,"Bacteria","Actinobacteria","Thermoleophilia","Gaiellales","Gaiellaceae",NA,NA,"f__Gaiellaceae  "
"asv_001320",0.0699647165483475,0.968785001654968,6.50004487,1.352e-05,23.06380834,4.02e-06,0.0175563,0,6.11179223,64.30678071,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Rhizobium",NA,"f__Rhizobiaceae g__Rhizobium "
"asv_002323",0.0263012464698605,0.968715315334852,20.10822314,29.24210635,7.8e-07,1.23793303,1.29237505,0.15162258,8.946e-05,47.96764962,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter",NA,"f__Sphingobacteriaceae g__Pedobacter "
"asv_001810",0.0282239761023506,0.968469486054537,2.52e-06,0.66333524,1.086e-05,0,3.579e-05,0,5.94371881,93.39289679,"Bacteria","Actinobacteria","Thermoleophilia","Gaiellales","Gaiellaceae",NA,NA,"f__Gaiellaceae  "
"asv_003092",0.059755801439798,0.966339969286958,16.09108133,0.39116153,2.74931522,1.03115546,2.0757076,2.98e-06,0.11591556,77.54566032,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae","Streptomyces","mirabilis","f__Streptomycetaceae g__Streptomyces s__mirabilis"
"asv_003285",0.025668335485086,0.966290040500928,18.10463026,4.2695108,7.8e-07,1.63978779,6.93421322,0.32401142,4.16e-06,68.72784157,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA,"f__Pseudomonadaceae g__Pseudomonas "
"asv_000490",0.122370333980951,0.965786376604352,8.77145007,5.8004495,0.17187149,0,6.23666337,0.00035887,0,79.0192067,"Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrososphaera",NA,"f__Nitrososphaeraceae g__Nitrososphaera "
"asv_000609",0.0528653760764128,0.965711495857027,17.93714898,28.55988663,0.7273362,3.2e-07,1.51086073,7.858e-05,7.474e-05,51.26461382,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter",NA,"f__Sphingobacteriaceae g__Pedobacter "
"asv_001561",0.0276683182454662,0.965661981875223,0.32872167,0.14996969,0,0,1e-07,0,1.62e-06,99.52130691,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Janthinobacterium",NA,"f__Oxalobacteraceae g__Janthinobacterium "
"asv_001347",0.058593490722868,0.965253806210165,0,1.8786831,0,0,0,1.53890498,2.12e-06,96.5824098,"Bacteria","Actinobacteria","Thermoleophilia","Gaiellales","Gaiellaceae",NA,NA,"f__Gaiellaceae  "
"asv_000953",0.0352642281476765,0.965198952469731,25.68554863,29.14088229,0,0.07240038,4.89e-06,0,0.0010414,45.1001224,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter",NA,"f__Sphingobacteriaceae g__Pedobacter "
"asv_002970",0.0245769635977996,0.964898856943409,8.76714084,1.2e-07,7.5e-07,0,0.39322805,2.89e-06,7.7e-07,90.83962657,"Bacteria","Verrucomicrobia","[Spartobacteria]","[Chthoniobacterales]","[Chthoniobacteraceae]","DA101",NA,"f__[Chthoniobacteraceae] g__DA101 "
"asv_002965",0.0266794091618209,0.963462127090779,16.67431721,26.43563139,0.91751739,3.285e-05,0.34031554,0,0.00039738,55.63178823,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter",NA,"f__Sphingobacteriaceae g__Pedobacter "
"asv_001836",0.0225547204894881,0.963344838846953,0.00088156,4.98410439,0.01183396,0.10815411,0.00618103,0.2441135,7.44e-06,94.64472402,"Bacteria","Nitrospirae","Nitrospira","Nitrospirales","0319-6A21",NA,NA,"f__0319-6A21  "
"asv_000649",0.17971206346557,0.963023494419877,14.62845377,0.89243188,0.86547533,3.76e-06,4.306e-05,1.218e-05,0,83.61358002,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae","Streptomyces","mirabilis","f__Streptomycetaceae g__Streptomyces s__mirabilis"
"asv_003306",0.0323551392981089,0.962434863873221,19.36477376,2.42909032,4.8e-07,0.45908882,2.63265364,3.4e-06,0,75.11438958,"Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrososphaera","SCA1170","f__Nitrososphaeraceae g__Nitrososphaera s__SCA1170"
"asv_001976",0.0475394435011881,0.961919758782169,19.5064149,7.06145414,1.23e-05,0.002766,9.871e-05,3.138e-05,8e-07,73.42922178,"Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrososphaera","SCA1170","f__Nitrososphaeraceae g__Nitrososphaera s__SCA1170"
"asv_001865",0.0647306397142226,0.961270967057844,0.91029395,2.6040972,5.74251584,2.06295975,1.35e-06,0,0,88.68013192,"Bacteria","Bacteroidetes","[Saprospirae]","[Saprospirales]","Chitinophagaceae","Chitinophaga","arvensicola","f__Chitinophagaceae g__Chitinophaga s__arvensicola"
"asv_002209",0.0346056017385508,0.961172785024917,22.19144377,24.04627757,0.750223,1.13865853,0.56078824,0.23219263,0.00010183,51.08031442,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter",NA,"f__Sphingobacteriaceae g__Pedobacter "
"asv_001076",0.0609620886140831,0.960855579370175,15.0400065,3.51996323,0,0,3.85432314,1.12e-05,0,77.58569593,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA,"f__Pseudomonadaceae g__Pseudomonas "
"asv_000583",0.220911836354941,0.959943757292613,2.4784411,6.4e-07,15.71381098,0.8698364,6.72132365,0.27627932,4.6971095,69.24319841,"Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Phenylobacterium",NA,"f__Caulobacteraceae g__Phenylobacterium "
"asv_001440",0.0668716794234661,0.959774723275609,11.54597694,9.14641641,5.4e-07,1.031e-05,1.35813434,0,0.27181065,77.67765081,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA,"f__Pseudomonadaceae g__Pseudomonas "
"asv_000417",0.110193237205346,0.959444517428967,24.96378032,26.03841562,0.04019526,0,0.00032909,0.00068227,0.00013028,48.95646716,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter",NA,"f__Sphingobacteriaceae g__Pedobacter "
"asv_001122",0.0253429792593384,0.958982007272349,5.22279723,1.885e-05,7.2213675,1.90082508,2.61260045,0.41876933,0,82.62362155,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium",NA,"f__Bradyrhizobiaceae g__Bradyrhizobium "
"asv_002578",0.0266333140219323,0.958221877867395,10.95585321,15.39761521,0.24150564,5.6e-07,6.1e-06,0.4727382,0.7920767,72.14020437,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas","maltophilia","f__Xanthomonadaceae g__Stenotrophomonas s__maltophilia"
"asv_000451",0.137729698571447,0.957591682385195,21.18318331,28.44391355,1.19193674,1.41470984,0.0007224,6e-08,0.17452923,47.59100487,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter",NA,"f__Sphingobacteriaceae g__Pedobacter "
"asv_000732",0.114653530066177,0.956748341578811,0,1.20415997,0.00035861,0.66977948,9.61599734,0.16897317,0,88.34073143,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Skermanella",NA,"f__Rhodospirillaceae g__Skermanella "
"asv_001488",0.0738511204802997,0.956632891575733,1.10119391,1.90799096,2.839e-05,9.072e-05,5.09322905,0.99292626,2.46e-06,90.90453825,"Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Myxococcaceae","Corallococcus","exiguus","f__Myxococcaceae g__Corallococcus s__exiguus"
"asv_001782",0.078088424990201,0.955348850445403,19.13510401,0.26864124,18.82041523,2.1e-07,1.27146624,0,0,60.50437307,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium",NA,"f__Sphingomonadaceae g__Sphingobium "
"asv_001018",0.0638913743778714,0.95495927968854,9.70756567,5.53328101,0,2.65e-06,0.80580659,1.76748942,0.00105321,82.18480146,"Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrososphaera",NA,"f__Nitrososphaeraceae g__Nitrososphaera "
"asv_002409",0.055181836882945,0.954711764350218,2.42e-06,3.9494372,0.40860955,0,6.76211376,0,0,88.87983707,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Sinobacteraceae","Steroidobacter",NA,"f__Sinobacteraceae g__Steroidobacter "
"asv_002332",0.0557813593517768,0.954330842205157,15.20026312,0.7435692,15.11166337,0,5.9296653,1.46e-06,7.9e-07,63.01483676,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium",NA,"f__Sphingomonadaceae g__Sphingobium "
"asv_001918",0.0484787494866969,0.9533295739134,1.53977061,27.6297699,0.12254909,0.00013418,2.839e-05,0.21158759,2.49e-06,70.49615776,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae",NA,NA,"f__Comamonadaceae  "
"asv_000790",0.0792024270701474,0.951350114302848,0.74819555,3.13644506,5.99499952,0.44811398,17.91288195,1.283e-05,6.52e-06,71.75934459,"Bacteria","Bacteroidetes","[Saprospirae]","[Saprospirales]","Chitinophagaceae",NA,NA,"f__Chitinophagaceae  "
"asv_001362",0.0639753451855509,0.950801669028088,2.9708906,3.20816465,2.33e-06,6.1e-07,1.33192886,1.56119692,5.58858153,85.3392345,"Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Myxococcaceae","Corallococcus","exiguus","f__Myxococcaceae g__Corallococcus s__exiguus"
"asv_002956",0.0230559283833483,0.950564813872523,17.6330149,17.78217039,2.76280925,0.91471516,0.00019431,0,0.14622771,60.76086828,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas",NA,"f__Xanthomonadaceae g__Stenotrophomonas "
"asv_001066",0.0603978754419519,0.950479153756465,0.71817983,3.11005538,5.84955104,0.47038772,18.13122772,2.85e-06,5.9e-07,71.72059486,"Bacteria","Bacteroidetes","[Saprospirae]","[Saprospirales]","Chitinophagaceae",NA,NA,"f__Chitinophagaceae  "
"asv_001785",0.0847746801993885,0.949252986168404,6.7724223,8.74616523,0.00081297,0.20783438,0.13768318,0.14808071,0,83.98700122,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas",NA,"f__Xanthomonadaceae g__Stenotrophomonas "
"asv_000473",0.138291963461285,0.948316045754515,28.09428383,5.17516742,1.071e-05,0.47201098,4.34560836,1.583e-05,1.88e-06,61.91290099,"Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrososphaera",NA,"f__Nitrososphaeraceae g__Nitrososphaera "
"asv_002724",0.0406311642886404,0.946610344094872,6.66556952,1.53969485,15.85751115,5.219e-05,4.01895585,1.74891679,9.186e-05,70.16920778,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium",NA,"f__Sphingomonadaceae g__Sphingobium "
