"Fraction","ASV","relab_sum","shap_p","Year","Month","Species","Rotation","Nitrogen","Block","Rep","Residual","Kingdom","Phylum","Class","Order","Family","Genus","species","taxa"
"bulk soil","asv_000483",0.528015241915779,0.0510517286060923,4.16663875,1.66510659,6.07489026,0.11202272,0.46680289,0,1.01530153,86.49923725,"Bacteria","Verrucomicrobia","[Spartobacteria]","[Chthoniobacterales]","[Chthoniobacteraceae]","DA101",NA,"f__[Chthoniobacteraceae] g__DA101 "
"bulk soil","asv_000292",0.52642614161233,0.21203520256696,29.26399952,1.50243618,5.86637244,2.01651247,1.4e-07,2.19669474,0,59.15398451,"Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrososphaera","SCA1170","f__Nitrososphaeraceae g__Nitrososphaera s__SCA1170"
"bulk soil","asv_000312",0.526153795512839,0.000659469398634693,25.16313998,2.98330784,8.24469315,0.56875565,5.351e-05,1.4e-07,9e-08,63.04004964,"Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrososphaera","SCA1170","f__Nitrososphaeraceae g__Nitrososphaera s__SCA1170"
"bulk soil","asv_000641",0.520058973988582,0.344363960584173,1.04410121,1.96367518,4.25713923,0.05830046,0.23437913,0,0.25868236,92.18372244,"Bacteria","Actinobacteria","Thermoleophilia","Gaiellales","Gaiellaceae",NA,NA,"f__Gaiellaceae  "
"bulk soil","asv_000146",0.518950814548481,0.584589346714486,1.86874504,0.58064658,0,0.95128139,0,0,0,96.59932699,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium",NA,"f__Bradyrhizobiaceae g__Bradyrhizobium "
"bulk soil","asv_000262",0.502982813560956,0.0338519371655927,17.68874294,2.77723424,9.78933588,0,0,2.01319163,0,67.7314953,"Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrososphaera","SCA1170","f__Nitrososphaeraceae g__Nitrososphaera s__SCA1170"
"bulk soil","asv_000147",0.498027108817166,0.395055118401095,3.5e-07,0.23915843,0.57344663,2e-08,1.10971969,4.66173461,0,93.41594026,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium",NA,"f__Bradyrhizobiaceae g__Bradyrhizobium "
"bulk soil","asv_000293",0.493490774021632,0.686599625007581,26.77790504,2.8893453,5.65128799,1.241e-05,0,0,0,64.68144926,"Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrososphaera","SCA1170","f__Nitrososphaeraceae g__Nitrososphaera s__SCA1170"
"bulk soil","asv_000317",0.489165160522163,0.0438404913552728,26.41434626,1.06625872,9.99720891,0.91967995,5.34e-06,0,0.81069936,60.79180147,"Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrososphaera","SCA1170","f__Nitrososphaeraceae g__Nitrososphaera s__SCA1170"
"bulk soil","asv_000149",0.486411099227962,0.304770933960187,1.9e-07,0.73663587,2.6e-07,0.00137,1.33372673,4.5e-07,0,97.92826651,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium",NA,"f__Bradyrhizobiaceae g__Bradyrhizobium "
"bulk soil","asv_000416",0.483799350932735,0.305242973830894,0.00300864,17.01314227,6.517e-05,0.0082687,2.06694488,0,0.8391775,80.06939284,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Skermanella",NA,"f__Rhodospirillaceae g__Skermanella "
"bulk soil","asv_000298",0.482851121197913,0.00717942076345774,25.33912853,1.50288399,12.72243187,1.34655724,1.2e-07,0.80249842,0,58.28649984,"Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrososphaera","SCA1170","f__Nitrososphaeraceae g__Nitrososphaera s__SCA1170"
"bulk soil","asv_000142",0.475707279566706,0.10164413595875,0,1.71570695,1.09792234,5.81288018,0.34554549,0,0,91.02794504,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium",NA,"f__Bradyrhizobiaceae g__Bradyrhizobium "
"bulk soil","asv_000304",0.46787562913876,0.0184095113328128,28.90658268,2.83559626,3.93419286,0.57168224,3.95e-06,0.06069073,0,63.69125128,"Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrososphaera","SCA1170","f__Nitrososphaeraceae g__Nitrososphaera s__SCA1170"
"bulk soil","asv_000766",0.463289534649022,0.237939683027113,0.00061851,7.61e-06,2.06e-06,0.439992,5.95139444,0,0,93.60798538,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Sinobacteraceae","Steroidobacter",NA,"f__Sinobacteraceae g__Steroidobacter "
"bulk soil","asv_000579",0.457309769149544,6.20010318094376e-06,17.50314745,7.36358423,1.80450837,1.45408833,3.04e-06,0.99436152,6.3e-07,70.88030644,"Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrososphaera",NA,"f__Nitrososphaeraceae g__Nitrososphaera "
"bulk soil","asv_000600",0.451818410722696,0.0319471772412622,1.38484038,0.02416402,6.25487191,3.136e-05,4.96779752,2.52277898,0.13719069,84.70832514,"Bacteria","Bacteroidetes","[Saprospirae]","[Saprospirales]","Chitinophagaceae",NA,NA,"f__Chitinophagaceae  "
"bulk soil","asv_000338",0.448770961988554,0.281120564821728,28.27234407,3.24746341,6.72107635,2.4e-07,0,0,1.6e-07,61.75911578,"Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrososphaera","SCA1170","f__Nitrososphaeraceae g__Nitrososphaera s__SCA1170"
"bulk soil","asv_002326",0.447797015783909,0.00133373503437989,0.16462756,2.30702957,0,1.74391148,0.16001924,0,0,95.62441214,"Bacteria","Verrucomicrobia","[Spartobacteria]","[Chthoniobacterales]","[Chthoniobacteraceae]","DA101",NA,"f__[Chthoniobacteraceae] g__DA101 "
"bulk soil","asv_000323",0.44734936486835,0.0707926786673918,30.35362346,2.31387979,5.85479589,3.31359125,0,7.912e-05,0.03606378,58.12796671,"Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrososphaera","SCA1170","f__Nitrososphaeraceae g__Nitrososphaera s__SCA1170"
"bulk soil","asv_000347",0.447056046702193,0.0131136405118717,33.47883425,0.67757351,8.85743806,0.00021128,3.522e-05,0.77544774,1.2e-07,56.21045982,"Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrososphaera","SCA1170","f__Nitrososphaeraceae g__Nitrososphaera s__SCA1170"
"bulk soil","asv_000659",0.444980975382418,0.088158800124983,0.61683288,9.12318892,4.2452792,0,7.2e-07,2.158e-05,1.533e-05,86.01466138,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Skermanella",NA,"f__Rhodospirillaceae g__Skermanella "
"bulk soil","asv_000294",0.444163354461952,2.00233212852046e-05,19.23157859,3.06046098,10.14029491,3.389e-05,1.991e-05,1.66637374,2.219e-05,65.90121579,"Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrososphaera","SCA1170","f__Nitrososphaeraceae g__Nitrososphaera s__SCA1170"
"bulk soil","asv_000476",0.442077026025423,0.241732564235746,5.892e-05,2.4405568,0.41178088,1.106e-05,13.57871623,5.39165152,3.704e-05,78.17718754,"Bacteria","Bacteroidetes","[Saprospirae]","[Saprospirales]","Chitinophagaceae",NA,NA,"f__Chitinophagaceae  "
"bulk soil","asv_000602",0.440841168374152,0.816282439599088,1.3842812,2.74017069,0,0.00015879,0.09743551,8.06e-06,0.68541918,95.09252658,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Propionibacteriaceae","Microlunatus",NA,"f__Propionibacteriaceae g__Microlunatus "
"bulk soil","asv_000141",0.438541514557881,0.613180973441597,3.1e-07,1.80551482,0.16198148,1.60536258,0.03172455,0,0.25924961,96.13616666,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium",NA,"f__Bradyrhizobiaceae g__Bradyrhizobium "
"bulk soil","asv_000373",0.431876910408838,0.387739779729937,28.62887129,0.9614775,10.61100451,2.03324279,1.8e-07,0.00014322,0,57.7652605,"Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrososphaera","SCA1170","f__Nitrososphaeraceae g__Nitrososphaera s__SCA1170"
"bulk soil","asv_000246",0.424551016943853,0.0553201222418654,0,25.74433941,6.1e-07,0,2.24217049,0.14564871,3.32e-05,71.86780758,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae",NA,NA,"f__Pseudomonadaceae  "
"bulk soil","asv_000786",0.418389292588686,0.72989502127998,0.30925975,6.05260943,0.2408905,1.9e-07,0,0.45117852,0.00027038,92.94579123,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Geodermatophilaceae",NA,NA,"f__Geodermatophilaceae  "
"bulk soil","asv_000428",0.417062246601311,0.712785359835189,1.7286086,0.25761419,0,3.20999633,6.815068,0,0.02800871,87.96070417,"Bacteria","Verrucomicrobia","[Spartobacteria]","[Chthoniobacterales]","[Chthoniobacteraceae]","DA101",NA,"f__[Chthoniobacteraceae] g__DA101 "
"bulk soil","asv_000596",0.41575330791787,0.0224444463909683,3.41542316,6.01951686,0,6.843e-05,12.83779871,4.92020813,0,72.80698471,"Bacteria","Bacteroidetes","[Saprospirae]","[Saprospirales]","Chitinophagaceae",NA,NA,"f__Chitinophagaceae  "
"bulk soil","asv_000332",0.409710863024832,0.000655584376993452,33.56990922,2.24950637,2.5e-07,3.3e-07,1.1e-07,5.10684917,0.30823093,58.76550362,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micrococcaceae","Arthrobacter","psychrolactophilus","f__Micrococcaceae g__Arthrobacter s__psychrolactophilus"
"bulk soil","asv_000358",0.407693774145714,0.225931672607743,32.58898139,3.29337134,6.0647847,3.50697099,0.00065787,0.00548583,0.35559768,54.1841502,"Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrososphaera","SCA1170","f__Nitrososphaeraceae g__Nitrososphaera s__SCA1170"
"bulk soil","asv_000357",0.401132033979792,0.083025620520362,16.26928769,2.77218859,0,5.02e-06,0.00112177,0.6482164,0,80.30918053,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micrococcaceae","Arthrobacter","psychrolactophilus","f__Micrococcaceae g__Arthrobacter s__psychrolactophilus"
"bulk soil","asv_000361",0.397197201613391,0.859174970795452,26.36479013,3.16410255,7.46410627,0.89222076,0,0.04367281,0.04344442,62.02766306,"Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrososphaera","SCA1170","f__Nitrososphaeraceae g__Nitrososphaera s__SCA1170"
"bulk soil","asv_000614",0.396043386804112,0.625356599521244,0.09194065,2.34941331,0,0,4.36e-06,0,1.8463431,95.71229858,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Geodermatophilaceae",NA,NA,"f__Geodermatophilaceae  "
"bulk soil","asv_000560",0.395364345238426,0.0243771210833762,12.18387017,6.58943357,0.12379502,0,2.595e-05,0,0,81.10287529,"Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrososphaera",NA,"f__Nitrososphaeraceae g__Nitrososphaera "
"bulk soil","asv_000651",0.393044816470515,0.0662914316024181,0.14515797,5.64826228,0,0.40841843,0,6.78e-06,0.28585196,93.51230257,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Intrasporangiaceae",NA,NA,"f__Intrasporangiaceae  "
"bulk soil","asv_000261",0.392557248671657,0.243446994360917,2.36e-06,18.25942246,4e-08,1.709e-05,0.00029873,8.3e-07,1.21247665,80.52778183,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA,"f__Pseudomonadaceae g__Pseudomonas "
"bulk soil","asv_000880",0.389177492426583,0.246795306603483,0.31554643,2e-07,3.63525943,0,1.37823874,1.9970917,2e-08,92.67386348,"Bacteria","Actinobacteria","Thermoleophilia","Gaiellales","Gaiellaceae",NA,NA,"f__Gaiellaceae  "
"bulk soil","asv_000481",0.388486790821054,0.324326381519725,6.00369049,0.04721512,4.154e-05,0.55083664,10.96849432,0.76197211,4.006e-05,81.66770973,"Bacteria","Bacteroidetes","[Saprospirae]","[Saprospirales]","Chitinophagaceae",NA,NA,"f__Chitinophagaceae  "
"bulk soil","asv_000359",0.385003426423525,0.248191048254929,29.19571937,2.45468807,4.09265847,1.08171429,0,1.21154884,1.48e-06,61.96366948,"Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrososphaera","SCA1170","f__Nitrososphaeraceae g__Nitrososphaera s__SCA1170"
"bulk soil","asv_000389",0.384069207126259,0.343217453267788,26.98150226,1.34063728,9.09199188,2.87191617,1.09981229,0.47426678,5.91e-06,58.13986743,"Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrososphaera","SCA1170","f__Nitrososphaeraceae g__Nitrososphaera s__SCA1170"
"bulk soil","asv_000403",0.382931450571867,1.44625620164207e-05,36.27027408,0.55819244,7.81359408,2.4e-07,0,0.55750066,0.00010629,54.80033221,"Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrososphaera","SCA1170","f__Nitrososphaeraceae g__Nitrososphaera s__SCA1170"
"bulk soil","asv_000252",0.382759246135636,0.134456250860567,0,22.36162608,0.00065829,0.71108169,4.53e-06,0.04376133,0.30778099,76.57508709,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA,"f__Pseudomonadaceae g__Pseudomonas "
"bulk soil","asv_000351",0.376416736502216,0.0644079777836183,31.70446215,1.68831317,9.41261255,0.62205906,0,0.5650656,8.6e-07,56.00748661,"Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrososphaera","SCA1170","f__Nitrososphaeraceae g__Nitrososphaera s__SCA1170"
"bulk soil","asv_000495",0.372391368607151,0.0731217076437275,11.23541326,2.65841479,1.25005712,0.00063299,1.84e-06,0,1.98e-06,84.85547801,"Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrososphaera",NA,"f__Nitrososphaeraceae g__Nitrososphaera "
"bulk soil","asv_000637",0.367108519910456,0.0931356572077267,4.9e-07,0,0.29718786,0,3.4e-07,0.37258598,1e-08,99.33022532,"Bacteria","Actinobacteria","Thermoleophilia","Gaiellales","Gaiellaceae",NA,NA,"f__Gaiellaceae  "
"bulk soil","asv_000240",0.366964838049106,0.0611287018255548,0.88164543,18.26029927,1e-08,1.148e-05,0,0.9613948,0,79.89664899,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA,"f__Pseudomonadaceae g__Pseudomonas "
"bulk soil","asv_000473",0.36650223910752,0.0648912356749048,25.94049804,12.93952494,5.0722463,1.88108788,2.841e-05,3.3e-07,0,54.1666141,"Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrososphaera",NA,"f__Nitrososphaeraceae g__Nitrososphaera "
"bulk soil","asv_000161",0.361978610167137,0.574551814764623,0.00175917,0.5554779,0.72649487,0.00068929,0.98126493,4.4636174,8.7e-06,93.27068775,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium",NA,"f__Bradyrhizobiaceae g__Bradyrhizobium "
"bulk soil","asv_000381",0.361861746435833,0.179269541832032,30.93613581,4.84786236,4.66901929,3.31e-06,0,0.41956795,4.14e-06,59.12740713,"Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrososphaera","SCA1170","f__Nitrososphaeraceae g__Nitrososphaera s__SCA1170"
"bulk soil","asv_000452",0.359068582863931,0.0297069203259099,25.6445687,1.10348964,0.00021577,3.17e-06,0.3787049,1.56e-06,4.81971718,68.05329908,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micrococcaceae","Arthrobacter","psychrolactophilus","f__Micrococcaceae g__Arthrobacter s__psychrolactophilus"
"bulk soil","asv_000391",0.356737690360464,0.509555544184254,27.48987443,1.70585341,11.09723238,0.58606366,5.54e-06,5.9e-06,0.00057765,59.12038702,"Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrososphaera","SCA1170","f__Nitrososphaeraceae g__Nitrososphaera s__SCA1170"
"bulk soil","asv_000691",0.356451911600552,0.862351259217032,3.13e-06,3.188271,1.91375102,0.00027036,21.89987966,0,0,72.99782483,"Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrososphaera","SCA1170","f__Nitrososphaeraceae g__Nitrososphaera s__SCA1170"
"bulk soil","asv_000484",0.354273619569096,0.000382984638689437,18.17582015,3.19329255,1.693e-05,1.8e-07,0.00033007,1.35201357,2.77e-06,77.27852379,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micrococcaceae","Arthrobacter","psychrolactophilus","f__Micrococcaceae g__Arthrobacter s__psychrolactophilus"
"bulk soil","asv_000426",0.35291001806044,0.0184996966104678,31.94126147,1.40469603,8.82152714,1.06457487,0.38570488,0,0.22783666,56.15439895,"Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrososphaera","SCA1170","f__Nitrososphaeraceae g__Nitrososphaera s__SCA1170"
"bulk soil","asv_000466",0.352727140648905,0.000444365376799276,35.38184181,4.04988331,6.95206207,0.00043626,0.00139565,0.00018837,0,53.61419253,"Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrososphaera","SCA1170","f__Nitrososphaeraceae g__Nitrososphaera s__SCA1170"
"bulk soil","asv_000587",0.351069063354937,0.280414013858714,9.74271583,1.4167516,0,4.939e-05,1.13568721,0.99793005,0.00023472,86.7066312,"Bacteria","Verrucomicrobia","[Spartobacteria]","[Chthoniobacterales]","[Chthoniobacteraceae]","DA101",NA,"f__[Chthoniobacteraceae] g__DA101 "
"bulk soil","asv_000735",0.350206758592565,0.709874892950905,0,1.4e-07,8e-08,1.85e-06,2.80240917,0,0,97.19758876,"Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Myxococcaceae",NA,NA,"f__Myxococcaceae  "
"bulk soil","asv_000463",0.348815283230094,0.55024164278281,22.79527018,5.73670149,7e-08,1.181e-05,4.4e-07,1.36186229,0.49584454,69.61030918,"Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrososphaera",NA,"f__Nitrososphaeraceae g__Nitrososphaera "
"bulk soil","asv_000160",0.348472386073041,0.452260622090189,2.96186807,1.47e-06,0,0.03890529,0,3.37e-06,0,96.9992218,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium",NA,"f__Bradyrhizobiaceae g__Bradyrhizobium "
"bulk soil","asv_000407",0.347256353163363,0.0910646899263761,31.80351736,1.51778349,2.99103524,0.24767288,1.6e-07,1.8907529,9.1e-07,61.54923706,"Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrososphaera","SCA1170","f__Nitrososphaeraceae g__Nitrososphaera s__SCA1170"
"bulk soil","asv_000382",0.342845962902283,0.91885607242666,31.67677742,2.37778208,11.39327345,0.87318655,0.36663928,1.21488744,0,52.0974538,"Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrososphaera","SCA1170","f__Nitrososphaeraceae g__Nitrososphaera s__SCA1170"
"bulk soil","asv_000535",0.342185931612939,0.804933232006638,1.62190148,0.14635753,0.46096202,1.63698744,4.81426192,0,0,91.3195296,"Bacteria","Verrucomicrobia","[Spartobacteria]","[Chthoniobacterales]","[Chthoniobacteraceae]","DA101",NA,"f__[Chthoniobacteraceae] g__DA101 "
"bulk soil","asv_000274",0.340604512303898,0.150469347427411,0,25.33089229,0,0,1.28e-06,2.041e-05,0,74.66908601,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae",NA,NA,"f__Pseudomonadaceae  "
"bulk soil","asv_000151",0.337733873956994,0.970292823518398,0,2.17790229,7e-08,3.02171182,0.00843902,3e-08,3.245e-05,94.79191432,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium",NA,"f__Bradyrhizobiaceae g__Bradyrhizobium "
"bulk soil","asv_000301",0.336415234061511,0.279692447173746,2.3e-07,19.82577606,1.469e-05,0.19744514,0.00024352,0,0,79.97652035,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA,"f__Pseudomonadaceae g__Pseudomonas "
"bulk soil","asv_000440",0.336314171991047,0.0120396398317851,26.93583703,1.33907246,8.35611672,3.1724873,0.47014203,0.42553397,7.71e-06,59.30080277,"Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrososphaera","SCA1170","f__Nitrososphaeraceae g__Nitrososphaera s__SCA1170"
"bulk soil","asv_000369",0.333720471197893,0.00242110800129593,15.00723158,2.28041745,0.15379324,0,1.2912566,0,1.404e-05,81.26728709,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micrococcaceae","Arthrobacter","psychrolactophilus","f__Micrococcaceae g__Arthrobacter s__psychrolactophilus"
"bulk soil","asv_000404",0.332062428666368,0.000143463046979907,20.18212386,0.48760995,0.99190831,1.14e-06,4.87e-06,0.56275771,5.05927019,72.71632398,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micrococcaceae","Arthrobacter","psychrolactophilus","f__Micrococcaceae g__Arthrobacter s__psychrolactophilus"
"bulk soil","asv_001072",0.330525460666449,0.374926070269826,1.64e-06,9.20401984,1.212e-05,2.15e-06,2.333e-05,0,0,90.79594091,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micromonosporaceae",NA,NA,"f__Micromonosporaceae  "
"bulk soil","asv_000629",0.329012801962523,0.881826589446241,0.87437948,0.15084645,0,5.35518645,6.5e-07,0,2.03773339,91.58185359,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Geodermatophilaceae",NA,NA,"f__Geodermatophilaceae  "
"bulk soil","asv_000288",0.326582086814867,0.138463085975497,3.873e-05,25.59810405,2.89e-06,1.6e-07,3.77549066,1.08416116,1.71e-06,69.54220064,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA,"f__Pseudomonadaceae g__Pseudomonas "
"bulk soil","asv_000713",0.32650986786362,0.683648337295514,3.7190243,0.68881446,1.28892717,0.13685334,0.4075954,8.3e-07,5.3e-07,93.75878397,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Intrasporangiaceae",NA,NA,"f__Intrasporangiaceae  "
"bulk soil","asv_000552",0.32426286775114,0.0173596157061104,7.59982266,9.11339074,7.6030985,1.56e-06,0,0.00020752,0,75.68347903,"Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrososphaera",NA,"f__Nitrososphaeraceae g__Nitrososphaera "
